CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10188,5296.51,0.65,3944.35,2487.38,1389.91,4690.91,0.11,0.25,0.26,0.29,2,16,12701.29,5880.18,1102.95,0.49,12
C10189,2418.52,0.85,3328.27,2369.99,1404.22,1377.83,0.12,0.3,0.18,0.24,2,11,11339.83,3921.19,775.01,0.36,6
C10190,931.03,0.53,1308.83,930.31,1509.41,1660.86,0.56,0.28,0.44,0.27,2,7,4712.09,5509.26,1299.75,0.42,28
C10191,8972.16,0.79,4536.9,2742.23,1746.99,3504.04,0.51,0.24,0.2,0.0,2,10,1236.51,3892.18,1817.49,0.01,29
C10192,9004.18,0.67,3356.95,2858.92,1004.92,3826.58,0.63,0.25,0.17,0.28,0,17,7715.8,295.86,839.19,0.18,24
C10193,6331.01,0.81,2806.6,986.96,1463.2,4647.02,0.75,0.09,0.1,0.24,4,12,13024.77,5980.9,635.68,0.37,8
C10194,3390.3,0.52,563.84,1069.73,1242.15,1024.01,0.55,0.41,0.19,0.25,1,8,,683.82,782.99,0.04,25
C10195,3492.1,0.94,2240.81,1521.85,381.41,3989.99,0.12,0.27,0.16,0.03,0,23,14387.17,4127.59,876.44,0.28,20
C10196,7259.56,0.99,2307.19,2823.95,61.12,3692.73,0.19,0.07,0.34,0.22,2,12,13313.89,1591.73,156.39,0.21,18
C10197,8971.1,0.98,4324.17,2630.2,576.24,318.97,0.67,0.38,0.14,0.29,1,16,9120.61,2412.69,1001.9,0.01,27
C10198,8870.86,0.87,2737.77,316.68,891.64,1936.12,0.17,0.47,0.29,0.2,0,15,7224.48,3911.01,993.69,0.12,19
C10199,7798.76,0.57,1908.2,1184.26,1238.04,1413.83,0.06,0.47,0.03,0.17,0,12,11847.9,2675.28,1181.0,0.14,12
C10200,6420.32,0.88,4884.23,1664.58,1701.42,1522.45,0.56,0.18,0.1,0.28,0,16,11357.5,1578.22,732.01,0.06,6
C10201,841.4,0.51,562.5,1514.37,400.53,4914.73,0.32,0.07,0.2,0.13,0,17,8534.01,2073.23,1230.08,0.32,18
C10202,1616.29,0.51,2118.52,589.65,259.84,3213.89,0.74,0.26,0.47,0.18,1,20,2222.58,2115.13,1757.65,0.12,9
C10203,8985.54,0.66,219.7,2577.86,1927.33,3588.38,0.52,0.06,0.19,0.14,0,18,13965.14,5760.01,1911.39,0.14,17
C10204,6064.29,0.74,3702.12,2034.05,225.01,4883.09,0.07,0.47,0.33,0.28,1,14,7378.44,4811.82,1171.39,0.45,12
C10205,91.97,0.89,4591.2,2515.35,962.2,1886.01,0.76,0.09,0.13,0.02,0,18,6086.67,2805.44,94.76,0.23,32
C10206,1014.72,0.84,1407.39,2577.71,1175.27,4009.2,0.21,0.13,0.06,0.15,2,16,9813.94,1278.94,1938.78,0.2,7
C10207,6635.02,0.72,4293.12,2247.58,1087.34,2172.65,0.27,0.2,0.03,0.21,0,9,10433.73,4885.0,1414.67,0.36,22
C10208,50.62,0.64,1468.17,1323.24,181.2,4347.67,0.32,0.19,0.15,0.24,3,16,3949.63,1027.38,678.57,0.45,6
C10209,1608.08,1.0,4554.74,1835.53,123.48,903.29,0.04,0.4,0.08,0.17,1,14,12717.14,1341.73,302.84,0.01,31
C10210,5487.34,0.71,3772.27,489.49,219.91,4738.43,0.4,0.23,0.09,0.27,0,11,,2259.48,295.4,0.22,19
C10211,6918.95,0.73,4026.48,2024.2,1175.32,1093.86,0.1,0.09,0.38,0.28,1,11,3613.57,5294.05,343.81,0.31,35
C10212,6519.61,0.58,99.85,545.97,1093.25,1631.1,0.32,0.13,0.01,0.02,0,23,6689.6,877.54,100.69,0.16,27
C10213,2242.69,0.9,4814.42,2084.91,475.14,3780.96,0.28,0.25,0.28,0.12,2,20,11227.84,821.18,1805.29,0.39,33
C10214,7121.79,0.85,3636.09,696.5,1279.17,1968.78,0.62,0.07,0.19,0.01,1,14,14516.41,3014.45,1086.13,0.49,26
C10215,2372.49,0.61,1530.71,361.48,1641.93,3041.06,0.64,0.31,0.25,0.1,1,8,12329.94,1730.82,1402.92,0.47,6
C10216,3254.0,0.54,4148.68,504.2,92.74,2222.87,0.12,0.28,0.28,0.16,0,17,14164.88,3455.49,1657.94,0.13,31
C10217,7464.91,0.84,1414.79,15.96,1001.28,3711.85,0.29,0.36,0.16,0.27,1,16,2968.48,2764.66,,0.11,8
C10218,6496.33,0.83,4365.04,2159.03,1381.73,1141.66,0.3,0.47,0.15,0.25,1,12,1996.48,2666.26,1766.39,0.48,16
C10219,8492.23,0.64,571.78,2199.88,512.1,292.29,0.12,0.46,0.37,0.04,0,15,8807.87,760.64,1934.84,0.23,12
C10220,6576.13,0.98,3521.39,1549.65,622.46,1499.65,0.64,0.47,0.44,0.03,1,19,5064.16,932.19,883.75,0.1,33
C10221,5683.09,0.58,2708.09,492.47,1231.14,2371.54,0.57,0.12,0.1,0.18,0,16,12592.77,4944.36,1901.17,0.35,30
C10222,936.75,0.72,491.71,259.83,1796.89,840.1,0.15,0.07,0.05,0.16,4,12,10407.83,5326.71,1449.35,0.14,34
C10223,3677.16,0.97,1217.05,67.2,1621.75,1773.99,0.29,0.15,0.45,0.08,1,12,14590.19,1484.63,150.63,0.13,14
C10224,2652.02,0.71,71.9,505.59,1170.43,1999.92,0.08,0.45,0.17,0.27,1,21,4567.09,769.42,1366.75,0.44,27
C10225,2439.9,0.82,2349.15,2673.66,1463.14,286.96,0.5,0.49,0.28,0.28,6,8,7800.98,415.16,1376.57,0.08,8
C10226,9730.11,0.7,1513.31,732.2,736.0,2916.54,0.1,0.43,0.18,0.12,0,10,8017.37,3688.96,1812.66,0.03,6
C10227,3930.98,0.64,2995.8,1069.27,1285.52,4421.72,0.79,0.06,0.06,0.27,1,23,4348.48,4320.58,752.13,0.13,24
C10228,8920.47,0.99,1493.22,324.98,937.7,758.71,0.62,0.47,0.29,0.12,1,13,9261.31,2299.58,1173.97,0.3,31
C10229,6311.39,0.7,1506.6,674.86,387.97,2989.04,0.31,0.21,0.26,0.22,3,13,7206.0,4110.09,34.25,0.06,7
C10230,7948.11,0.95,3718.53,1562.48,1406.46,3323.7,0.46,0.0,0.1,0.14,1,16,7254.1,4306.46,670.83,0.24,32
C10231,5026.37,0.61,250.23,1827.18,1117.36,2096.67,0.73,0.22,0.23,0.04,0,15,6078.31,5618.52,133.87,0.31,26
C10232,5769.04,0.61,4515.45,743.6,723.66,3505.49,0.44,0.02,0.4,0.28,2,18,1237.01,482.75,1048.53,0.42,29
C10233,4925.18,0.52,4262.8,182.62,1823.56,2053.66,0.14,0.27,0.3,0.14,2,14,8309.33,1234.52,1636.72,0.11,10
C10234,1952.43,0.83,3342.35,1179.19,51.66,2523.19,0.3,0.17,0.05,0.22,1,14,5693.47,504.3,420.82,0.41,22
C10235,7224.52,0.68,2970.18,710.27,638.39,36.77,0.67,0.24,0.27,0.11,0,13,1018.48,5221.16,,0.12,24
C10236,2807.72,0.93,4462.59,666.47,123.19,3458.6,0.52,0.31,0.35,0.01,0,11,5311.21,4776.26,415.98,0.34,33
C10237,243.16,0.74,934.8,2879.99,1535.39,3306.71,0.52,0.43,0.4,0.03,1,14,4900.8,3490.39,250.17,0.22,10
C10238,6454.72,0.98,404.06,1852.74,1407.19,192.0,0.69,0.33,0.31,0.15,0,12,6508.27,593.61,1026.88,0.06,28
C10239,1771.11,0.59,1205.16,1675.07,669.39,1841.25,0.72,0.22,0.08,0.21,2,12,2845.93,1712.54,,0.36,26
C10240,9404.59,0.93,3974.95,1253.17,1354.57,4895.16,0.74,0.41,0.36,0.1,0,18,,1856.55,1178.84,0.11,19
C10241,9539.29,0.89,183.0,1292.54,797.92,2103.68,0.08,0.45,0.34,0.21,1,15,10694.16,3408.38,72.36,0.09,15
C10242,9148.64,0.89,2918.21,1627.31,1514.95,2509.73,0.44,0.06,0.01,0.21,2,12,9822.6,1622.46,222.36,0.18,26
C10243,3701.59,0.92,4977.23,2092.33,913.83,4549.65,0.59,0.27,0.21,0.21,0,17,12252.57,530.46,1104.49,0.33,12
C10244,154.57,0.88,4279.92,2109.42,830.44,3586.31,0.61,0.14,0.17,0.15,0,14,,4411.5,1186.9,0.12,34
C10245,9283.19,0.81,2612.01,523.36,1870.11,2910.35,0.49,0.02,0.33,0.27,0,19,,1864.57,67.68,0.09,13
C10246,4281.84,0.57,327.57,1505.34,509.25,3989.02,0.13,0.33,0.11,0.15,0,13,12345.63,2769.01,1151.02,0.0,35
C10247,9666.55,0.52,4158.55,1241.75,249.69,4321.83,0.64,0.43,0.3,0.14,1,8,6987.82,853.23,1678.62,0.24,13
C10248,9636.2,0.96,2998.9,2612.88,1173.24,2284.44,0.58,0.08,0.46,0.06,1,16,10822.39,4835.03,1447.41,0.21,12
C10249,8530.09,0.81,583.52,1897.94,1938.95,2375.54,0.07,0.41,0.4,0.09,0,13,7084.43,3436.64,271.06,0.12,18
C10250,2944.49,0.9,478.35,1602.19,761.9,1930.25,0.37,0.43,0.46,0.01,0,12,6848.31,5419.36,1189.02,0.03,19
C10251,3850.98,0.74,4549.04,355.03,133.45,4833.53,0.14,0.46,0.49,0.19,0,18,,3023.28,1347.78,0.21,24
C10252,8511.37,0.56,3349.31,1820.86,685.22,3485.83,0.27,0.13,0.01,0.07,0,18,3447.72,5654.41,84.09,0.39,16
C10253,3169.22,0.56,4148.14,360.44,1016.8,416.12,0.01,0.45,0.31,0.09,1,14,5740.2,5362.02,1712.14,0.36,7
C10254,1694.93,0.84,4396.1,1018.25,332.23,4314.8,0.32,0.16,0.21,0.23,1,15,4138.41,3501.11,,0.43,22
C10255,5568.01,0.72,2863.14,437.1,1319.62,2402.8,0.44,0.28,0.43,0.1,1,17,6027.54,5609.97,1702.4,0.0,11
C10256,9361.55,0.6,2592.06,2079.3,1995.52,343.77,0.5,0.03,0.13,0.07,1,17,4225.25,2006.22,1651.02,0.48,34
C10257,6960.3,0.75,2157.83,626.69,908.96,2748.59,0.53,0.02,0.49,0.05,0,16,9111.68,2257.29,1492.48,0.17,14
C10258,5700.61,0.53,1591.56,1181.66,715.91,2085.82,0.67,0.36,0.31,0.23,1,15,12174.39,368.32,1270.53,0.5,24
C10259,971.76,0.79,2178.63,2688.07,807.4,4388.75,0.17,0.22,0.4,0.04,1,18,12012.58,3576.29,1360.47,0.13,10
C10260,6150.07,0.63,3871.66,620.91,239.14,1019.97,0.1,0.13,0.04,0.14,1,22,6103.01,4359.35,1614.73,0.24,14
C10261,9900.54,0.9,3013.6,1528.34,1767.71,4132.32,0.68,0.1,0.09,0.15,2,15,14842.65,4663.76,1328.37,0.18,35
C10262,1400.84,0.66,4463.69,1263.62,835.5,2788.44,0.13,0.33,0.38,0.21,1,18,9313.96,983.92,662.18,0.18,35
C10263,5183.3,0.73,2222.47,64.19,780.68,273.05,0.78,0.0,0.01,0.19,2,11,6591.6,2720.54,,0.42,30
C10264,8773.73,0.51,3039.38,2380.35,1322.78,4859.23,0.67,0.4,0.41,0.24,2,14,12697.55,1143.49,1795.14,0.37,12
C10265,7407.69,0.54,3160.22,216.45,889.65,2563.08,0.4,0.04,0.01,0.01,1,10,11218.24,4006.55,44.07,0.5,35
C10266,6970.16,0.7,2962.57,1428.02,1299.98,1454.38,0.79,0.1,0.33,0.09,3,17,,1031.88,1400.65,0.31,9
C10267,7024.84,0.74,3516.14,1686.43,132.28,2347.03,0.08,0.19,0.18,0.08,1,10,,5434.57,1910.01,0.23,32
C10268,3594.91,0.8,1194.79,1889.0,1629.31,4289.29,0.24,0.24,0.31,0.04,0,8,7556.54,1460.74,1415.39,0.05,23
C10269,2935.92,0.65,2566.7,2069.01,1881.6,1524.52,0.51,0.18,0.35,0.09,0,18,13065.59,1819.27,1987.88,0.5,23
C10270,8093.61,0.85,530.08,767.28,1301.04,963.38,0.28,0.16,0.17,0.09,1,16,8056.53,5120.35,1378.21,0.28,25
C10271,8101.13,0.93,1928.71,39.84,1909.59,645.36,0.74,0.48,0.05,0.16,0,16,10568.34,2804.96,78.38,0.35,22
C10272,8670.72,0.89,2443.46,2173.1,311.35,1489.3,0.05,0.32,0.03,0.2,2,11,9231.07,241.58,1655.75,0.2,35
C10273,9132.41,0.52,3264.6,1611.61,960.06,3900.24,0.44,0.01,0.29,0.11,2,16,12793.0,3018.06,576.41,0.27,9
C10274,5113.42,0.74,4753.15,2509.99,1207.6,2358.13,0.47,0.22,0.26,0.22,1,12,4983.85,598.81,897.65,0.47,33
C10275,5015.16,0.55,3007.25,2465.95,1167.66,1137.41,0.52,0.44,0.37,0.1,0,12,9056.65,5913.53,631.06,0.08,35
C10276,7982.95,0.62,3720.53,2531.55,808.91,830.92,0.2,0.15,0.25,0.09,1,17,2725.29,3569.86,,0.15,32
C10277,6499.64,0.99,2536.27,1460.43,682.79,1663.65,0.29,0.05,0.21,0.16,1,15,10662.95,1613.54,868.5,0.08,27
C10278,7019.67,0.57,3174.18,1007.55,262.38,4699.62,0.67,0.38,0.2,0.01,2,21,11247.55,3425.93,763.72,0.4,21
C10279,7957.93,0.75,363.95,2376.76,789.57,1715.13,0.16,0.3,0.01,0.02,1,9,1599.72,553.52,1270.34,0.03,27
C10280,8900.05,0.81,1279.41,1359.37,333.7,4940.62,0.66,0.29,0.17,0.13,1,11,10461.07,4819.36,1628.17,0.04,28
C10281,3379.95,0.85,1815.65,558.49,1471.39,2426.15,0.45,0.03,0.49,0.28,1,11,6805.66,5559.44,601.21,0.15,10
C10282,3755.83,0.78,2367.74,2566.37,425.57,895.82,0.61,0.07,0.44,0.22,0,13,2737.36,5259.22,435.31,0.26,14
C10283,939.82,0.5,237.79,2648.85,126.54,4455.7,0.57,0.31,0.16,0.03,0,11,6878.71,2116.37,1337.12,0.2,7
C10284,5782.8,0.66,708.72,1404.27,1109.21,2301.78,0.17,0.1,0.29,0.25,2,10,3719.26,2022.03,1343.94,0.02,7
C10285,359.42,0.76,1391.3,236.34,1194.51,3548.36,0.46,0.25,0.42,0.22,2,14,6817.83,307.02,1803.25,0.48,9
C10286,4655.98,0.54,4857.95,1169.6,1745.11,4918.56,0.69,0.27,0.22,0.18,1,18,6380.75,3943.26,41.73,0.48,25
C10287,5426.45,0.68,1663.42,2412.58,1158.19,250.88,0.35,0.14,0.01,0.25,0,12,11337.48,3255.94,1707.55,0.14,25
C10288,2865.41,0.52,2415.38,2706.3,697.51,483.47,0.77,0.47,0.04,0.12,4,18,11839.02,2810.14,1046.79,0.37,22
C10289,5908.33,0.54,988.53,618.38,1607.99,3602.28,0.36,0.42,0.26,0.07,1,11,9498.4,5455.02,1246.39,0.29,25
C10290,305.0,0.7,3057.79,210.25,1085.15,1409.13,0.11,0.36,0.48,0.15,2,15,1317.62,1090.49,191.83,0.12,33
C10291,373.48,0.57,1410.61,2633.28,167.77,921.51,0.31,0.04,0.35,0.16,1,18,14034.31,157.03,870.9,0.13,26
C10292,8226.01,0.78,1042.89,1174.32,1136.04,196.81,0.76,0.05,0.04,0.16,0,10,10607.27,532.57,,0.25,30
C10293,3601.91,0.84,2587.7,1629.87,1816.96,109.23,0.26,0.25,0.09,0.17,2,15,1478.74,1417.89,515.91,0.21,24
C10294,1270.61,0.9,37.47,2904.52,798.66,3872.43,0.69,0.08,0.39,0.28,2,14,12463.66,296.38,1013.15,0.15,8
C10295,5222.43,0.6,48.24,209.03,599.69,672.17,0.71,0.49,0.42,0.27,0,12,3803.73,3066.78,1626.79,0.4,35
C10296,7699.94,0.58,1103.15,1948.47,295.5,2338.6,0.28,0.08,0.31,0.26,2,14,9109.1,1953.13,1490.12,0.24,10
C10297,2158.21,0.55,193.24,231.58,311.38,3029.48,0.07,0.24,0.32,0.24,1,19,7532.88,1164.85,1186.09,0.33,15
C10298,6228.9,0.82,549.05,1132.65,871.22,2141.76,0.58,0.18,0.01,0.28,1,17,6877.74,4525.5,1083.44,0.09,11
C10299,853.47,0.85,1700.91,2413.41,1195.4,135.53,0.25,0.32,0.41,0.03,0,16,13455.99,1306.26,860.34,0.27,8
C10300,516.82,0.52,4014.9,1306.08,170.42,3917.51,0.63,0.06,0.39,0.08,2,17,7123.06,4156.87,1945.69,0.16,22
C10301,5313.55,0.97,2864.52,2991.58,1879.74,52.57,0.35,0.22,0.13,0.15,0,12,2054.82,2160.66,1124.78,0.26,15
C10302,5406.35,0.53,2568.21,1681.59,1512.72,3809.45,0.39,0.14,0.35,0.25,3,15,14252.94,3119.78,515.39,0.39,29
C10303,6374.3,0.77,1474.51,970.27,1177.38,4466.52,0.62,0.44,0.11,0.15,2,12,13887.49,5609.82,467.88,0.38,17
C10304,7260.91,0.85,4659.45,668.13,1658.59,2164.2,0.31,0.02,0.02,0.22,0,12,10582.06,320.37,1226.59,0.18,6
C10305,9758.52,0.94,1991.11,1058.06,169.57,2677.71,0.35,0.46,0.1,0.04,1,14,7550.5,3051.56,1050.43,0.35,23
C10306,5163.0,0.86,444.59,1123.87,958.91,2384.92,0.3,0.42,0.09,0.08,2,10,2300.03,5141.1,25.32,0.47,24
C10307,3229.56,0.9,3089.16,215.45,1263.89,1946.04,0.29,0.15,0.17,0.22,0,10,12070.47,3569.05,1661.83,0.31,27
C10308,7951.86,0.67,578.05,1115.03,1659.02,4437.12,0.42,0.39,0.21,0.05,0,22,2056.69,1733.54,,0.07,25
C10309,2708.32,0.91,1732.66,1398.07,1569.1,4469.67,0.65,0.02,0.25,0.11,0,18,1960.41,2446.32,1327.04,0.34,9
C10310,4389.71,0.54,2541.99,2170.99,561.37,1679.08,0.29,0.48,0.24,0.08,3,13,8523.37,4113.57,146.87,0.05,20
C10311,784.56,0.95,4372.37,1973.62,1882.35,3075.35,0.42,0.26,0.14,0.1,2,13,3241.8,5355.79,730.49,0.44,14
C10312,253.51,0.77,2472.8,2129.21,257.45,4634.54,0.54,0.15,0.01,0.21,1,13,1108.22,342.29,1871.41,0.26,11
C10313,9626.48,0.91,3514.27,35.01,1751.52,4810.29,0.22,0.18,0.3,0.11,1,13,6923.59,522.08,1726.55,0.19,17
C10314,8359.8,0.73,4964.16,660.83,1942.17,2544.8,0.22,0.03,0.2,0.17,1,22,2921.04,2017.8,578.23,0.03,23
C10315,6959.74,0.82,666.13,1988.44,362.54,2264.12,0.75,0.49,0.15,0.03,2,11,3247.22,1473.4,322.55,0.19,28
C10316,4089.53,0.76,1380.91,1457.13,1446.91,1393.47,0.58,0.02,0.43,0.24,1,20,2076.75,1663.09,903.69,0.45,20
C10317,1732.94,0.87,1978.93,25.89,90.17,4794.36,0.46,0.33,0.37,0.11,2,14,3871.31,1405.49,718.1,0.01,34
C10318,1564.37,0.54,2114.92,2415.44,816.79,714.07,0.52,0.22,0.43,0.19,1,14,11016.78,1255.37,1367.63,0.24,24
C10319,2502.43,0.53,2061.0,2320.7,1037.4,2899.15,0.02,0.47,0.25,0.22,0,8,12324.98,870.68,,0.47,14
C10320,5492.27,0.62,4538.98,1649.77,1165.48,1412.75,0.49,0.12,0.07,0.06,6,11,7335.47,5610.33,732.37,0.2,27
C10321,7145.96,0.58,3573.02,208.73,1872.52,1395.04,0.41,0.27,0.35,0.27,1,20,8091.75,950.72,133.83,0.21,29
C10322,6601.97,0.94,3043.45,2301.88,1347.78,2024.84,0.44,0.24,0.1,0.18,2,13,1457.17,1305.98,1796.25,0.29,18
C10323,2799.34,0.61,1553.77,1755.3,967.74,4993.96,0.29,0.35,0.22,0.13,1,19,1970.43,1552.97,85.52,0.23,21
C10324,9548.65,0.99,4120.71,2348.06,1621.25,274.83,0.07,0.03,0.03,0.05,1,15,4605.95,5604.79,1906.0,0.08,18
C10325,7378.97,0.67,4775.75,2257.72,1901.56,2892.71,0.15,0.1,0.41,0.28,2,15,8614.58,4558.71,1332.51,0.01,6
C10326,5543.54,0.59,4107.78,2410.98,53.91,412.86,0.76,0.11,0.06,0.23,0,15,11353.72,4759.23,1883.96,0.3,23
C10327,6117.21,0.89,17.81,1558.84,1965.22,772.6,0.33,0.37,0.45,0.06,0,13,,718.07,407.32,0.46,27
C10328,4196.0,0.83,3185.64,429.57,181.4,2197.81,0.37,0.09,0.43,0.1,0,16,6489.79,5034.23,90.99,0.05,8
C10329,2477.31,0.75,265.17,2016.76,1630.63,2552.3,0.04,0.29,0.23,0.24,1,13,,2508.34,981.54,0.11,22
C10330,3559.73,0.78,1295.46,1865.22,567.87,1293.96,0.03,0.11,0.37,0.21,1,24,11930.83,1650.66,906.74,0.19,27
C10331,7578.46,0.86,307.03,2229.34,273.04,1582.29,0.57,0.43,0.31,0.23,0,16,6093.0,3496.93,,0.4,10
C10332,143.93,0.61,3022.94,517.94,885.31,434.84,0.43,0.47,0.4,0.13,0,15,11304.76,4950.88,1915.74,0.13,34
C10333,1160.73,1.0,3436.08,592.98,1291.47,1516.1,0.41,0.26,0.22,0.21,0,16,8181.7,4694.05,1646.94,0.44,30
C10334,460.03,0.99,581.29,2672.32,768.09,4832.79,0.19,0.18,0.39,0.12,3,9,11341.27,5350.99,1326.55,0.03,11
C10335,407.29,0.83,1925.36,2252.43,118.59,4723.54,0.6,0.12,0.23,0.06,0,13,13702.05,5575.98,334.09,0.47,26
C10336,8554.61,0.6,2286.62,2725.6,1202.93,1674.39,0.13,0.02,0.47,0.19,2,17,13894.41,1504.92,1471.3,0.28,22
C10337,7036.58,0.84,1851.57,2278.56,1805.78,2854.27,0.15,0.13,0.24,0.29,1,13,8491.49,2600.76,1456.75,0.33,22
C10338,4741.74,0.54,613.91,1795.49,772.6,4547.98,0.37,0.33,0.23,0.09,0,15,8161.12,186.31,855.89,0.18,32
C10339,978.34,0.52,2100.55,1965.86,440.5,30.92,0.23,0.27,0.39,0.14,1,21,4719.5,5288.0,1850.32,0.39,6
C10340,4916.16,0.63,3758.38,2668.49,890.73,4053.42,0.2,0.47,0.41,0.2,1,20,14101.2,1011.98,342.29,0.08,12
C10341,4734.72,0.73,364.33,1740.63,106.24,4741.85,0.52,0.2,0.28,0.16,1,20,7410.87,5182.7,542.0,0.02,27
C10342,1732.02,0.93,410.1,1900.85,1642.77,456.63,0.52,0.35,0.09,0.25,1,16,2786.28,2043.39,135.82,0.2,35
C10343,4338.52,0.86,1780.31,477.87,1654.42,807.24,0.66,0.24,0.23,0.23,3,20,7057.87,2271.99,1592.95,0.43,21
C10344,3985.05,0.87,4709.21,1427.02,1180.12,4803.73,0.33,0.26,0.48,0.02,1,14,2778.75,330.88,1247.3,0.38,10
C10345,6158.5,0.71,3346.18,2152.03,712.67,2687.7,0.06,0.13,0.38,0.3,0,7,8035.44,2028.58,636.73,0.26,21
C10346,6350.94,0.67,3396.56,820.12,1601.57,70.98,0.22,0.23,0.41,0.23,1,20,8857.86,5341.35,335.99,0.29,9
C10347,453.04,0.69,1815.98,614.74,1113.83,1288.16,0.78,0.24,0.02,0.26,1,14,5728.58,250.73,89.89,0.06,16
C10348,3746.13,0.99,2972.37,948.34,1653.61,2249.72,0.48,0.35,0.23,0.2,2,14,2003.11,2497.33,341.82,0.42,19
C10349,6258.6,0.52,60.55,732.09,1266.6,3464.54,0.57,0.47,0.32,0.26,1,14,14209.05,285.26,912.04,0.39,34
C10350,5031.36,0.93,3184.12,652.59,1570.97,3665.8,0.01,0.16,0.42,0.03,1,16,11826.94,2288.45,501.88,0.33,18
C10351,8564.9,0.79,4567.3,1280.3,1201.14,4977.11,0.41,0.02,0.02,0.1,3,14,12744.34,1118.58,525.37,0.23,32
C10352,6586.94,0.72,3066.74,2724.44,834.14,1437.56,0.03,0.25,0.43,0.26,0,15,6136.16,1588.09,1752.4,0.48,29
C10353,1629.34,0.86,4369.76,1526.11,1916.31,2691.1,0.46,0.27,0.27,0.06,0,17,11651.63,5277.83,1035.12,0.44,32
C10354,705.69,0.74,3622.63,571.88,1086.82,2666.62,0.74,0.08,0.1,0.02,0,16,7795.22,2672.69,1461.21,0.32,13
C10355,6424.19,0.94,611.59,240.15,1214.13,2028.23,0.77,0.38,0.16,0.24,0,11,3815.17,1715.41,81.06,0.19,26
C10356,265.11,0.95,4513.24,2091.51,448.77,845.81,0.43,0.49,0.14,0.25,1,12,2741.93,3577.1,736.68,0.31,25
C10357,5857.76,0.71,341.55,1154.57,1255.05,4887.28,0.37,0.47,0.27,0.05,2,12,5830.71,938.43,963.55,0.29,20
C10358,9402.3,0.64,2674.5,2467.27,1147.5,4266.59,0.76,0.1,0.03,0.26,1,15,2925.73,1630.41,380.97,0.2,23
C10359,5754.74,0.8,719.26,1981.94,377.83,2491.67,0.54,0.44,0.08,0.21,1,20,14975.77,3322.86,249.18,0.15,12
C10360,3881.7,0.96,68.42,2390.76,128.58,3016.23,0.05,0.35,0.41,0.16,1,14,1688.65,1501.39,1741.9,0.2,26
C10361,6432.88,0.61,2115.95,823.12,1212.68,1136.31,0.37,0.23,0.07,0.25,3,16,7176.01,4106.85,1879.47,0.29,24
C10362,4582.53,0.81,1482.25,2080.15,1529.75,2718.94,0.19,0.27,0.12,0.13,0,14,7329.31,2999.8,166.83,0.21,30
C10363,5456.17,0.82,2435.14,799.55,1051.57,3474.85,0.38,0.42,0.23,0.06,2,19,5208.85,4654.74,,0.13,14
C10364,9414.65,0.87,2890.23,2817.81,461.28,2575.84,0.36,0.24,0.26,0.09,0,7,8998.92,5694.64,1916.99,0.38,16
C10365,3861.03,0.57,228.26,1912.76,1336.38,4951.43,0.47,0.19,0.38,0.15,0,14,,783.25,175.49,0.27,32
C10366,9611.91,0.86,623.79,980.29,169.41,3056.71,0.29,0.25,0.22,0.16,1,16,11974.77,2074.52,1290.85,0.03,15
C10367,9053.51,0.95,2797.63,815.84,889.25,1854.87,0.13,0.29,0.39,0.24,1,15,5654.27,1985.34,1944.72,0.18,19
C10368,1957.91,0.59,1722.41,580.87,335.1,3860.76,0.4,0.09,0.31,0.24,3,19,9278.8,991.98,1956.67,0.44,21
C10369,693.61,0.62,3648.58,2086.98,377.07,852.31,0.66,0.45,0.06,0.17,0,7,11018.95,4880.79,947.73,0.38,32
C10370,1007.78,0.99,3264.94,663.96,412.56,1922.58,0.53,0.34,0.08,0.23,1,11,,4583.28,,0.16,13
C10371,182.22,0.59,4229.57,1789.96,779.55,1734.79,0.27,0.32,0.22,0.06,1,11,12701.02,2958.11,412.15,0.47,6
C10372,944.43,0.93,3465.54,801.26,111.79,2159.04,0.75,0.05,0.2,0.02,0,13,9516.33,3272.85,1780.31,0.04,17
C10373,6830.07,0.75,2155.36,1989.29,801.61,3908.9,0.73,0.3,0.37,0.26,1,23,6437.5,451.31,,0.48,8
C10374,711.89,0.62,3368.1,2446.67,1028.3,2420.87,0.17,0.06,0.29,0.02,1,15,8044.87,3377.49,,0.12,7
C10375,3189.76,0.94,1384.15,2336.3,971.76,3970.07,0.03,0.04,0.19,0.07,1,21,11762.29,4768.91,1534.69,0.0,21
C10376,8448.75,0.72,1538.5,2284.95,771.74,2882.44,0.59,0.26,0.09,0.21,1,8,13285.64,3485.58,1482.46,0.22,9
C10377,232.72,0.76,3947.04,571.29,1679.9,1710.35,0.66,0.2,0.11,0.12,0,14,2452.95,1665.31,1327.02,0.18,7
C10378,8144.68,0.68,2237.63,274.27,299.2,4049.89,0.77,0.29,0.29,0.26,2,13,6387.99,4038.53,1656.28,0.27,17
C10379,2818.55,0.8,3993.92,2099.86,1016.34,1191.45,0.71,0.04,0.21,0.09,0,28,11865.63,2232.78,1373.96,0.4,32
